domain,domain_display_name,model,metric_group,metric,subkey,value,count
real_validation,real_validation,ours,keypoints,completeness,,1,
real_validation,real_validation,ours,keypoints,ground_truth_visible_keypoints,,1673,
real_validation,real_validation,ours,keypoints,pair_error_diagonal,count,1673,1673
real_validation,real_validation,ours,keypoints,pair_error_diagonal,mean,0.00216768,1673
real_validation,real_validation,ours,keypoints,pair_error_diagonal,median,0.0019852,1673
real_validation,real_validation,ours,keypoints,pair_error_diagonal,q90,0.00368263,1673
real_validation,real_validation,ours,keypoints,pair_error_px,count,1673,1673
real_validation,real_validation,ours,keypoints,pair_error_px,mean,3.18347,1673
real_validation,real_validation,ours,keypoints,pair_error_px,median,2.91548,1673
real_validation,real_validation,ours,keypoints,pair_error_px,q90,5.40833,1673
real_validation,real_validation,ours,keypoints,pck,0.005,0.979677,
real_validation,real_validation,ours,keypoints,pck,0.01,1,
real_validation,real_validation,ours,keypoints,pck,0.02,1,
real_validation,real_validation,ours,keypoints,pck,0.05,1,
real_validation,real_validation,ours,keypoints,predicted_valid_keypoints_among_visible,,1673,
real_validation,real_validation,ours,keypoints,sample_count,,120,
real_validation,real_validation,ours,alignment,doubles_polygon_iou,count,120,120
real_validation,real_validation,ours,alignment,doubles_polygon_iou,mean,0.987845,120
real_validation,real_validation,ours,alignment,doubles_polygon_iou,median,0.987925,120
real_validation,real_validation,ours,alignment,doubles_polygon_iou,q90,0.993358,120
real_validation,real_validation,ours,alignment,ground_truth_homography_success,,120,
real_validation,real_validation,ours,alignment,line_reprojection_diagonal,count,120,120
real_validation,real_validation,ours,alignment,line_reprojection_diagonal,mean,0.00138167,120
real_validation,real_validation,ours,alignment,line_reprojection_diagonal,median,0.00126401,120
real_validation,real_validation,ours,alignment,line_reprojection_diagonal,q90,0.00196585,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_diagonal,count,120,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_diagonal,mean,0.00137839,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_diagonal,median,0.00126401,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_diagonal,q90,0.00196585,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_px,count,120,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_px,mean,2.02432,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_px,median,1.85633,120
real_validation,real_validation,ours,alignment,line_reprojection_in_frame_px,q90,2.88706,120
