clip,player,frame,spd_cand_max,class,src_cur,src_cand,hip_res
video_001/clip_001,1,168,69.57,B-boundary-switch,1,1,"{'cur_cam0': 8.88, 'cur_cam1': 2.98, 'cand_cam0': 8.88, 'cand_cam1': 2.98}"
video_001/clip_001,1,333,61.9,B-boundary-switch,1,1,"{'cur_cam0': 7.72, 'cur_cam1': 3.17, 'cand_cam0': 0.71, 'cand_cam1': 0.44}"
video_001/clip_001,1,334,61.9,B-boundary-switch,1,1,"{'cur_cam0': 7.75, 'cur_cam1': 3.12, 'cand_cam0': 7.75, 'cand_cam1': 3.12}"
video_001/clip_001,1,337,61.33,B-boundary-switch,1,1,"{'cur_cam0': 7.75, 'cur_cam1': 3.1, 'cand_cam0': 7.75, 'cand_cam1': 3.1}"
video_001/clip_001,1,338,61.33,B-boundary-switch,1,1,"{'cur_cam0': 7.73, 'cur_cam1': 3.07, 'cand_cam0': 0.87, 'cand_cam1': 0.54}"
video_001/clip_001,1,359,57.62,B-boundary-switch,1,1,"{'cur_cam0': 7.38, 'cur_cam1': 2.81, 'cand_cam0': 0.94, 'cand_cam1': 0.59}"
video_001/clip_001,1,360,57.62,B-boundary-switch,1,1,"{'cur_cam0': 7.41, 'cur_cam1': 2.75, 'cand_cam0': 7.41, 'cand_cam1': 2.75}"
video_001/clip_001,1,801,15.94,B-boundary-switch,1,1,"{'cur_cam0': 7.35, 'cur_cam1': 5.22, 'cand_cam0': 10.23, 'cand_cam1': 2.74}"
video_001/clip_001,1,802,15.94,B-boundary-switch,1,1,"{'cur_cam0': 7.66, 'cur_cam1': 5.41, 'cand_cam0': 7.66, 'cand_cam1': 5.41}"
video_001/clip_001,1,810,22.81,B-boundary-switch,1,1,"{'cur_cam0': 11.55, 'cur_cam1': 6.01, 'cand_cam0': 11.55, 'cand_cam1': 6.01}"
video_001/clip_001,1,921,25.99,B-boundary-switch,1,1,"{'cur_cam0': 6.25, 'cur_cam1': 5.59, 'cand_cam0': 6.25, 'cand_cam1': 5.59}"
video_001/clip_001,1,922,25.99,B-boundary-switch,1,1,"{'cur_cam0': 6.55, 'cur_cam1': 5.74, 'cand_cam0': 11.13, 'cand_cam1': 2.53}"
video_001/clip_001,1,923,26.28,B-boundary-switch,1,1,"{'cur_cam0': 6.64, 'cur_cam1': 5.73, 'cand_cam0': 11.31, 'cand_cam1': 2.43}"
video_001/clip_001,1,924,26.28,B-boundary-switch,1,1,"{'cur_cam0': 6.33, 'cur_cam1': 5.42, 'cand_cam0': 6.33, 'cand_cam1': 5.42}"
video_001/clip_001,1,1192,30.55,S-2view-jitter,1,1,"{'cur_cam0': 2.84, 'cur_cam1': 3.08, 'cand_cam0': 2.84, 'cand_cam1': 3.08}"
video_001/clip_001,1,1193,30.55,B-boundary-switch,2,1,"{'cur_cam0': None, 'cur_cam1': 3.13, 'cand_cam0': None, 'cand_cam1': 0.75}"
video_001/clip_001,1,1195,26.46,B-boundary-switch,2,1,"{'cur_cam0': None, 'cur_cam1': 4.07, 'cand_cam0': None, 'cand_cam1': 1.47}"
video_001/clip_001,1,1196,26.46,S-2view-jitter,1,1,"{'cur_cam0': 3.45, 'cur_cam1': 4.44, 'cand_cam0': 3.45, 'cand_cam1': 4.44}"
video_000/clip_007,1,159,64.13,B-boundary-switch,1,1,"{'cur_cam0': 6.55, 'cur_cam1': 4.51, 'cand_cam0': 6.55, 'cand_cam1': 4.51}"
video_000/clip_007,1,160,64.13,B-boundary-switch,1,1,"{'cur_cam0': 6.53, 'cur_cam1': 4.45, 'cand_cam0': 1.76, 'cand_cam1': 1.04}"
video_000/clip_007,1,161,66.03,B-boundary-switch,1,1,"{'cur_cam0': 6.58, 'cur_cam1': 4.52, 'cand_cam0': 2.09, 'cand_cam1': 1.23}"
video_000/clip_007,1,162,66.03,B-boundary-switch,1,1,"{'cur_cam0': 6.31, 'cur_cam1': 4.32, 'cand_cam0': 6.31, 'cand_cam1': 4.32}"
video_000/clip_007,1,171,77.48,B-boundary-switch,1,1,"{'cur_cam0': 6.57, 'cur_cam1': 5.04, 'cand_cam0': 6.57, 'cand_cam1': 5.04}"
video_000/clip_007,1,172,77.48,B-boundary-switch,1,1,"{'cur_cam0': 7.63, 'cur_cam1': 5.98, 'cand_cam0': 1.63, 'cand_cam1': 0.97}"
video_000/clip_007,1,173,14.73,B-boundary-switch,1,1,"{'cur_cam0': 6.73, 'cur_cam1': 5.66, 'cand_cam0': 1.94, 'cand_cam1': 1.16}"
video_000/clip_007,1,222,13.78,B-boundary-switch,1,1,"{'cur_cam0': 0.24, 'cur_cam1': 0.15, 'cand_cam0': 0.24, 'cand_cam1': 0.15}"
video_000/clip_007,1,223,13.78,B-boundary-switch,1,2,"{'cur_cam0': 0.08, 'cur_cam1': 0.05, 'cand_cam0': 1.17, 'cand_cam1': 0.45}"
video_000/clip_009,1,241,33.45,B-boundary-switch,1,1,"{'cur_cam0': 4.79, 'cur_cam1': 4.62, 'cand_cam0': 4.79, 'cand_cam1': 4.62}"
video_000/clip_009,1,242,33.45,B-boundary-switch,1,1,"{'cur_cam0': 5.09, 'cur_cam1': 4.82, 'cand_cam0': 11.13, 'cand_cam1': 0.14}"
video_000/clip_009,1,243,31.26,B-boundary-switch,2,1,"{'cur_cam0': None, 'cur_cam1': 4.55, 'cand_cam0': None, 'cand_cam1': 0.5}"
video_000/clip_009,1,244,31.26,S-2view-jitter,1,1,"{'cur_cam0': 5.01, 'cur_cam1': 4.76, 'cand_cam0': 5.01, 'cand_cam1': 4.76}"
video_000/clip_009,1,426,64.76,B-boundary-switch,1,1,"{'cur_cam0': 8.46, 'cur_cam1': 2.84, 'cand_cam0': 8.46, 'cand_cam1': 2.84}"
video_000/clip_009,1,733,22.09,B-boundary-switch,1,1,"{'cur_cam0': 7.14, 'cur_cam1': 5.95, 'cand_cam0': 7.14, 'cand_cam1': 5.95}"
video_000/clip_009,1,741,20.93,B-boundary-switch,1,1,"{'cur_cam0': 4.89, 'cur_cam1': None, 'cand_cam0': 4.89, 'cand_cam1': None}"
