frame,cam2_hipL,cam2_hipR,cam2_shoL,cam2_shoR,cam2_obs_hipx_px,views_cur,views_cand,rootY_raw,rootY_cur,rootY_cand,disp_cand_cur_m,src_cur,w_cur,src_cand,w_cand,src_rec,w_rec,cam0_hipres_cur,cam1_hipres_cur,cam0_hipres_cand,cam1_hipres_cand
290,0.2656,0.2617,0.0,0.0,1.89,2,2,15.648,15.973,15.973,0.0,1,0.0,1,1.0,1,0.0,1.01,0.63,1.01,0.63
291,0.3281,0.3203,0.0,0.0,1.3,3,2,15.627,14.964,15.963,1.031,1,0.0,1,1.0,1,0.0,8.69,3.12,0.96,0.6
292,0.3125,0.3086,0.0,0.0,1.75,3,2,15.606,14.961,15.956,1.027,1,1.0,1,1.0,1,1.0,8.66,3.1,0.94,0.59
293,0.3086,0.2988,0.0,0.0,1.65,2,2,15.599,14.965,15.955,1.023,2,0.4000000059604645,1,1.0,2,0.4000000059604645,8.61,3.15,0.96,0.6
294,0.3828,0.375,0.0,0.0,0.8,3,2,15.592,14.969,15.949,1.012,1,1.0,1,1.0,1,1.0,8.57,3.16,1.01,0.63
295,0.373,0.3652,0.0,0.0,1.21,3,2,15.582,14.973,15.951,1.01,1,1.0,1,1.0,1,1.0,8.58,3.19,1.03,0.64
296,0.3066,0.3008,0.0,0.0,1.91,3,2,15.572,14.974,15.953,1.012,1,1.0,1,1.0,1,1.0,8.6,3.17,0.97,0.61
297,0.332,0.3262,0.0,0.0,1.02,3,2,15.559,14.978,15.951,1.006,1,0.0,1,1.0,1,0.0,8.55,3.11,0.9,0.56
298,0.2891,0.2832,0.0,0.0,1.63,2,2,15.546,15.942,15.942,0.0,1,0.0,1,1.0,1,0.0,0.77,0.48,0.77,0.48
299,0.2969,0.293,0.0,0.0,2.3,2,2,15.537,15.943,15.943,0.0,1,1.0,1,1.0,1,1.0,0.59,0.37,0.59,0.37
300,0.3164,0.3125,0.0,0.0,2.49,3,2,15.528,15.954,15.944,0.01,2,0.4000000059604645,1,1.0,2,0.4000000059604645,0.5,0.41,0.54,0.34
301,0.2637,0.2637,0.0,0.0,2.5,2,2,15.564,15.966,15.966,0.0,1,1.0,1,1.0,1,1.0,0.49,0.31,0.49,0.31
302,0.2891,0.2969,0.0,0.0,2.35,2,2,15.601,15.963,15.963,0.0,1,1.0,1,1.0,1,1.0,0.54,0.34,0.54,0.34
303,0.3203,0.3223,0.0,0.0,1.76,3,2,15.555,15.954,15.951,0.004,2,0.4000000059604645,1,1.0,2,0.4000000059604645,0.5,0.39,0.53,0.33
304,0.2812,0.2969,0.0,0.0,2.17,2,2,15.509,15.945,15.945,0.0,1,1.0,1,1.0,1,1.0,0.53,0.33,0.53,0.33
305,0.2471,0.2285,0.0,0.0,2.5,2,2,15.447,15.927,15.927,0.0,1,1.0,1,1.0,1,1.0,0.65,0.41,0.65,0.41
306,0.2432,0.2246,0.0,0.0,2.55,2,2,15.385,15.914,15.914,0.0,1,1.0,1,1.0,1,1.0,0.69,0.43,0.69,0.43
307,0.2354,0.2412,0.0,0.0,1.05,2,2,15.432,15.887,15.887,0.0,1,1.0,1,1.0,1,1.0,0.73,0.45,0.73,0.45
308,0.2812,0.2637,0.0,0.0,0.56,2,2,15.479,15.89,15.89,0.0,1,1.0,1,1.0,1,1.0,0.61,0.38,0.61,0.38
309,0.2578,0.2402,0.0,0.0,0.64,2,2,15.482,15.882,15.882,0.0,1,1.0,1,1.0,1,1.0,0.63,0.39,0.63,0.39
310,0.2617,0.2598,0.0,0.0,1.62,2,2,15.485,15.875,15.875,0.0,1,1.0,1,1.0,1,1.0,0.65,0.41,0.65,0.41
311,0.2383,0.2285,0.0,0.0,4.04,2,2,15.474,15.872,15.872,0.0,1,1.0,1,1.0,1,1.0,0.66,0.41,0.66,0.41
312,0.1982,0.207,0.0,0.0,3.29,2,2,15.464,15.863,15.863,0.0,1,1.0,1,1.0,1,1.0,0.64,0.4,0.64,0.4
313,0.1895,0.1797,0.0,0.0,2.88,2,2,15.444,15.836,15.836,0.0,1,1.0,1,1.0,1,1.0,0.66,0.41,0.66,0.41
314,0.2471,0.2539,0.3203,0.2969,2.42,2,2,15.424,15.827,15.827,0.0,1,1.0,1,1.0,1,1.0,0.69,0.43,0.69,0.43
315,0.2578,0.2852,0.3516,0.3594,4.3,2,2,15.446,15.813,15.813,0.0,1,0.0,1,1.0,1,0.0,0.61,0.38,0.61,0.38
