clip,frame,player,camera,joint,joint_id,residual_px,vis,teacher_source,teacher_weight,slcs_weight,player_conf
video_001/clip_001,182,1,cam2,right_wrist,10,697.5246281674614,0.52734375,1,1.0,0.4508463442325592,0.4508463442325592
video_001/clip_001,181,1,cam2,right_wrist,10,678.2532780598859,0.56640625,1,1.0,0.4378829598426819,0.4378829598426819
video_001/clip_001,183,1,cam2,right_wrist,10,673.0988462045495,0.5,1,1.0,0.4450061321258545,0.4450061321258545
video_001/clip_001,177,1,cam2,right_wrist,10,672.589327385597,0.6640625,1,1.0,0.4482230246067047,0.4482230246067047
video_001/clip_001,176,1,cam2,right_wrist,10,671.9108721742381,0.6875,1,1.0,0.44154030084609985,0.44154030084609985
video_000/clip_009,528,1,cam2,right_wrist,10,661.9831783410742,0.7109375,1,1.0,0.3675130307674408,0.3675130307674408
video_001/clip_001,178,1,cam2,right_wrist,10,660.1461661449028,0.59375,1,1.0,0.4084711968898773,0.4084711968898773
video_001/clip_001,179,1,cam2,right_wrist,10,648.0102822983112,0.6171875,1,1.0,0.44383808970451355,0.44383808970451355
video_001/clip_001,171,1,cam2,left_wrist,9,643.9774962179828,0.609375,1,1.0,0.48261335492134094,0.48261335492134094
video_001/clip_001,175,1,cam2,right_wrist,10,628.008258148073,0.66015625,1,1.0,0.4867302477359772,0.4867302477359772
video_001/clip_001,173,1,cam2,left_wrist,9,623.3532355484642,0.62109375,1,1.0,0.4439912736415863,0.4439912736415863
video_001/clip_001,277,1,cam2,right_elbow,8,618.9818631357424,0.39453125,1,1.0,0.5737400650978088,0.5737400650978088
video_001/clip_001,180,1,cam2,right_wrist,10,614.774295434994,0.59375,1,1.0,0.43179380893707275,0.43179380893707275
video_001/clip_001,279,1,cam2,right_elbow,8,613.7707736625844,0.578125,1,1.0,0.5778952240943909,0.5778952240943909
video_001/clip_001,175,1,cam2,left_wrist,9,611.3710250286055,0.671875,1,1.0,0.4867302477359772,0.4867302477359772
video_001/clip_001,278,1,cam2,right_elbow,8,609.0910988125864,0.486328125,1,1.0,0.5735485553741455,0.5735485553741455
video_001/clip_001,172,1,cam2,left_wrist,9,609.079304320352,0.6640625,1,1.0,0.47384345531463623,0.47384345531463623
video_001/clip_001,280,1,cam2,right_elbow,8,604.4044876464385,0.62890625,1,1.0,0.5813419222831726,0.5813419222831726
video_001/clip_001,174,1,cam2,left_wrist,9,603.0158374295597,0.640625,1,1.0,0.43966376781463623,0.43966376781463623
video_001/clip_001,172,1,cam2,right_wrist,10,601.8054606968318,0.6640625,1,1.0,0.47384345531463623,0.47384345531463623
video_001/clip_001,281,1,cam2,right_elbow,8,600.2881784995687,0.671875,1,1.0,0.5885990858078003,0.5885990858078003
video_000/clip_009,431,1,cam2,right_wrist,10,597.0083814421708,0.6640625,1,1.0,0.5062806606292725,0.5062806606292725
video_001/clip_001,176,1,cam2,right_knee,14,596.2607353018899,0.5,1,1.0,0.44154030084609985,0.44154030084609985
video_001/clip_001,282,1,cam2,right_elbow,8,593.3715436864165,0.72265625,1,1.0,0.5884459018707275,0.5884459018707275
video_001/clip_001,177,1,cam2,right_elbow,8,592.9438765777076,0.4296875,1,1.0,0.4482230246067047,0.4482230246067047
video_001/clip_001,184,1,cam2,right_wrist,10,592.4996702024049,0.439453125,1,1.0,0.4442784786224365,0.4442784786224365
video_001/clip_001,173,1,cam2,right_wrist,10,591.0394196028283,0.63671875,1,1.0,0.4439912736415863,0.4439912736415863
video_001/clip_001,283,1,cam2,right_elbow,8,590.8383107190782,0.7578125,1,1.0,0.5871055722236633,0.5871055722236633
video_001/clip_001,276,1,cam2,right_ankle,16,590.7164938659354,0.6796875,1,1.0,0.5575405955314636,0.5575405955314636
video_001/clip_001,175,1,cam2,right_knee,14,590.2489514718394,0.5625,1,1.0,0.4867302477359772,0.4867302477359772
video_001/clip_001,171,1,cam2,right_knee,14,590.1914970518338,0.78125,1,1.0,0.48261335492134094,0.48261335492134094
video_001/clip_001,176,1,cam2,right_elbow,8,589.5586717543875,0.36328125,1,1.0,0.44154030084609985,0.44154030084609985
video_000/clip_009,430,1,cam2,right_wrist,10,584.0106938371035,0.578125,1,1.0,0.4716222286224365,0.4716222286224365
video_000/clip_009,429,1,cam2,right_wrist,10,581.7411510693232,0.52734375,1,1.0,0.4846813678741455,0.4846813678741455
video_000/clip_009,431,1,cam2,right_shoulder,6,571.6560680916936,0.361328125,1,1.0,0.5062806606292725,0.5062806606292725
video_000/clip_009,432,1,cam2,right_wrist,10,561.1157047721634,0.640625,1,1.0,0.4501570165157318,0.4501570165157318
video_000/clip_009,431,1,cam2,right_elbow,8,559.3296160919098,0.48828125,1,1.0,0.5062806606292725,0.5062806606292725
video_000/clip_009,528,1,cam2,left_ankle,15,557.066541970891,0.388671875,1,1.0,0.3675130307674408,0.3675130307674408
video_000/clip_009,528,1,cam2,right_ankle,16,533.9401204760271,0.392578125,1,1.0,0.3675130307674408,0.3675130307674408
video_000/clip_007,179,1,cam2,right_wrist,10,530.1035825840623,0.77734375,1,1.0,0.5287415981292725,0.5287415981292725
