clip,frame,player,camera,hipL,hipR,both_ge03,views_both_ge03
video_001/clip_001,182,1,cam2,0.0,0.0,False,2
video_001/clip_001,181,1,cam2,0.0,0.0,False,2
video_001/clip_001,183,1,cam2,0.0,0.0,False,2
video_001/clip_001,177,1,cam2,0.0,0.0,False,2
video_001/clip_001,176,1,cam2,0.0,0.0,False,2
video_000/clip_009,528,1,cam2,0.0,0.0,False,2
video_001/clip_001,178,1,cam2,0.0,0.0,False,2
video_001/clip_001,179,1,cam2,0.0,0.0,False,2
video_001/clip_001,171,1,cam2,0.0,0.0,False,2
video_001/clip_001,175,1,cam2,0.0,0.0,False,2
video_001/clip_001,173,1,cam2,0.0,0.0,False,2
video_001/clip_001,277,1,cam2,0.0,0.0,False,2
video_001/clip_001,180,1,cam2,0.0,0.0,False,2
video_001/clip_001,279,1,cam2,0.0,0.0,False,2
video_001/clip_001,278,1,cam2,0.0,0.0,False,2
video_001/clip_001,172,1,cam2,0.0,0.0,False,2
video_001/clip_001,280,1,cam2,0.0,0.0,False,2
video_001/clip_001,174,1,cam2,0.0,0.0,False,2
video_001/clip_001,281,1,cam2,0.0,0.0,False,2
video_000/clip_009,431,1,cam2,0.0,0.0,False,2
video_001/clip_001,282,1,cam2,0.0,0.0,False,2
video_001/clip_001,184,1,cam2,0.0,0.0,False,2
video_001/clip_001,283,1,cam2,0.0,0.0,False,2
video_001/clip_001,276,1,cam2,0.0,0.0,False,2
video_000/clip_009,430,1,cam2,0.0,0.0,False,2
video_001/clip_001,284,1,cam2,0.0,0.0,False,2
