clip,frame,player,camera,joint,joint_id,residual_px,vis,obs_px,obs_inside,tea_px,tea_inside,tea_infront,hip_vis_L,hip_vis_R,teacher_source,teacher_weight,slcs_weight,player_conf
video_001/clip_001,182,1,cam2,right_wrist,10,697.5246281674614,0.52734375,"[20.6, 980.3]",True,"[-674.7, 1036.2]",False,True,0.0,0.0,1,1.0,0.4508463442325592,0.4508463541666667
video_001/clip_001,181,1,cam2,right_wrist,10,678.2532780598859,0.56640625,"[25.6, 980.5]",True,"[-651.4, 1021.3]",False,True,0.0,0.0,1,1.0,0.4378829598426819,0.4378829656862745
video_001/clip_001,183,1,cam2,right_wrist,10,673.0988462045495,0.5,"[14.0, 979.3]",True,"[-657.8, 1020.7]",False,True,0.0,0.0,1,1.0,0.4450061321258545,0.4450061274509804
video_001/clip_001,177,1,cam2,right_wrist,10,672.589327385597,0.6640625,"[44.0, 981.7]",True,"[-627.7, 1017.0]",False,True,0.0,0.0,1,1.0,0.4482230246067047,0.4482230392156863
video_001/clip_001,176,1,cam2,right_wrist,10,671.9108721742381,0.6875,"[47.9, 981.3]",True,"[-623.1, 1016.8]",False,True,0.0,0.0,1,1.0,0.44154030084609985,0.44154028799019607
video_000/clip_009,528,1,cam2,right_wrist,10,661.9831783410742,0.7109375,"[15.2, 819.6]",True,"[-599.1, 1066.3]",False,True,0.0,0.0,1,1.0,0.3675130307674408,0.3675130208333333
video_001/clip_001,178,1,cam2,right_wrist,10,660.1461661449028,0.59375,"[38.9, 981.9]",True,"[-620.6, 1009.0]",False,True,0.0,0.0,1,1.0,0.4084711968898773,0.40847120098039214
video_001/clip_001,179,1,cam2,right_wrist,10,648.0102822983112,0.6171875,"[34.4, 981.5]",True,"[-613.3, 1001.2]",False,True,0.0,0.0,1,1.0,0.44383808970451355,0.44383808210784315
video_001/clip_001,171,1,cam2,left_wrist,9,643.9774962179828,0.609375,"[70.5, 975.8]",True,"[-570.2, 1040.9]",False,True,0.0,0.0,1,1.0,0.48261335492134094,0.48261335784313725
video_001/clip_001,175,1,cam2,right_wrist,10,628.008258148073,0.66015625,"[52.6, 981.1]",True,"[-575.0, 1001.7]",False,True,0.0,0.0,1,1.0,0.4867302477359772,0.48673023897058826
video_001/clip_001,173,1,cam2,left_wrist,9,623.3532355484642,0.62109375,"[60.4, 979.3]",True,"[-560.2, 1037.7]",False,True,0.0,0.0,1,1.0,0.4439912736415863,0.4439912683823529
video_001/clip_001,277,1,cam2,right_elbow,8,618.9818631357424,0.39453125,"[1.3, 773.4]",True,"[-579.5, 987.4]",False,True,0.0,0.0,1,1.0,0.5737400650978088,0.5737400428921569
video_001/clip_001,180,1,cam2,right_wrist,10,614.774295434994,0.59375,"[29.9, 980.8]",True,"[-584.8, 990.0]",False,True,0.0,0.0,1,1.0,0.43179380893707275,0.43179381127450983
video_001/clip_001,279,1,cam2,right_elbow,8,613.7707736625844,0.578125,"[1.7, 766.7]",True,"[-570.9, 987.8]",False,True,0.0,0.0,1,1.0,0.5778952240943909,0.5778952205882353
video_001/clip_001,175,1,cam2,left_wrist,9,611.3710250286055,0.671875,"[51.3, 979.9]",True,"[-556.8, 1043.1]",False,True,0.0,0.0,1,1.0,0.4867302477359772,0.48673023897058826
video_001/clip_001,278,1,cam2,right_elbow,8,609.0910988125864,0.486328125,"[1.5, 769.8]",True,"[-568.9, 983.4]",False,True,0.0,0.0,1,1.0,0.5735485553741455,0.5735485600490197
video_001/clip_001,172,1,cam2,left_wrist,9,609.079304320352,0.6640625,"[65.2, 978.1]",True,"[-541.6, 1030.7]",False,True,0.0,0.0,1,1.0,0.47384345531463623,0.47384344362745096
video_001/clip_001,280,1,cam2,right_elbow,8,604.4044876464385,0.62890625,"[2.4, 763.9]",True,"[-560.6, 983.9]",False,True,0.0,0.0,1,1.0,0.5813419222831726,0.5813419117647058
video_001/clip_001,174,1,cam2,left_wrist,9,603.0158374295597,0.640625,"[55.5, 979.1]",True,"[-545.5, 1028.4]",False,True,0.0,0.0,1,1.0,0.43966376781463623,0.43966375612745096
video_001/clip_001,172,1,cam2,right_wrist,10,601.8054606968318,0.6640625,"[66.4, 980.1]",True,"[-535.4, 985.1]",False,True,0.0,0.0,1,1.0,0.47384345531463623,0.47384344362745096
video_001/clip_001,281,1,cam2,right_elbow,8,600.2881784995687,0.671875,"[2.2, 761.3]",True,"[-555.3, 983.7]",False,True,0.0,0.0,1,1.0,0.5885990858078003,0.5885991115196079
video_000/clip_009,431,1,cam2,right_wrist,10,597.0083814421708,0.6640625,"[22.8, 879.7]",True,"[-574.1, 893.9]",False,True,0.0,0.0,1,1.0,0.5062806606292725,0.5062806372549019
video_001/clip_001,176,1,cam2,right_knee,14,596.2607353018899,0.5,"[2.1, 907.2]",True,"[-520.7, 1194.0]",False,True,0.0,0.0,1,1.0,0.44154030084609985,0.44154028799019607
video_001/clip_001,282,1,cam2,right_elbow,8,593.3715436864165,0.72265625,"[1.8, 759.2]",True,"[-548.6, 980.8]",False,True,0.0,0.0,1,1.0,0.5884459018707275,0.5884459252450981
video_001/clip_001,177,1,cam2,right_elbow,8,592.9438765777076,0.4296875,"[3.4, 918.1]",True,"[-588.5, 952.0]",False,True,0.0,0.0,1,1.0,0.4482230246067047,0.4482230392156863
video_001/clip_001,184,1,cam2,right_wrist,10,592.4996702024049,0.439453125,"[8.5, 977.6]",True,"[-584.0, 986.6]",False,True,0.0,0.0,1,1.0,0.4442784786224365,0.4442784926470588
video_001/clip_001,173,1,cam2,right_wrist,10,591.0394196028283,0.63671875,"[61.5, 980.7]",True,"[-529.5, 984.5]",False,True,0.0,0.0,1,1.0,0.4439912736415863,0.4439912683823529
video_001/clip_001,283,1,cam2,right_elbow,8,590.8383107190782,0.7578125,"[2.2, 758.2]",True,"[-545.5, 979.8]",False,True,0.0,0.0,1,1.0,0.5871055722236633,0.5871055453431373
video_001/clip_001,276,1,cam2,right_ankle,16,590.7164938659354,0.6796875,"[2.1, 988.1]",True,"[-516.3, 1271.3]",False,True,0.0,0.0,1,1.0,0.5575405955314636,0.5575405943627451
video_001/clip_001,175,1,cam2,right_knee,14,590.2489514718394,0.5625,"[2.5, 903.8]",True,"[-513.0, 1191.4]",False,True,0.0,0.0,1,1.0,0.4867302477359772,0.48673023897058826
video_001/clip_001,171,1,cam2,right_knee,14,590.1914970518338,0.78125,"[11.9, 897.4]",True,"[-502.4, 1187.0]",False,True,0.0,0.0,1,1.0,0.48261335492134094,0.48261335784313725
video_001/clip_001,176,1,cam2,right_elbow,8,589.5586717543875,0.36328125,"[3.4, 910.9]",True,"[-584.7, 952.1]",False,True,0.0,0.0,1,1.0,0.44154030084609985,0.44154028799019607
